"日期","收盘","开盘","高","低","涨跌幅"
"2022年8月23日","0.485","0.485","0.485","0.485","2.75%"
"2022年8月22日","0.472","0.472","0.472","0.472","1.07%"
"2022年8月19日","0.467","0.467","0.467","0.467","0.43%"
"2022年8月18日","0.465","0.465","0.465","0.465","2.65%"
"2022年8月17日","0.453","0.453","0.453","0.453","1.12%"
"2022年8月16日","0.448","0.448","0.448","0.448","-1.54%"
"2022年8月15日","0.455","0.455","0.455","0.455","-2.36%"
"2022年8月12日","0.466","0.466","0.466","0.466","-1.06%"
"2022年8月11日","0.471","0.471","0.471","0.471","1.73%"
"2022年8月10日","0.463","0.463","0.463","0.463","0.65%"
"2022年8月9日","0.460","0.460","0.460","0.460","-0.22%"
"2022年8月8日","0.461","0.461","0.461","0.461","2.67%"
"2022年8月5日","0.449","0.449","0.449","0.449","-0.22%"
"2022年8月4日","0.450","0.450","0.450","0.450","-2.60%"
"2022年8月3日","0.462","0.462","0.462","0.462","-2.12%"
"2022年8月2日","0.472","0.472","0.472","0.472","1.07%"
"2022年8月1日","0.467","0.467","0.467","0.467","-3.11%"
"2022年7月29日","0.482","0.482","0.482","0.482","1.05%"
"2022年7月28日","0.477","0.477","0.477","0.477","-1.24%"
"2022年7月27日","0.483","0.483","0.483","0.483","3.21%"
"2022年7月26日","0.468","0.468","0.468","0.468","-0.85%"
"2022年7月25日","0.472","0.472","0.472","0.472","1.72%"
"2022年7月22日","0.464","0.464","0.464","0.464","-1.07%"
"2022年7月21日","0.469","0.469","0.469","0.469","-2.29%"
"2022年7月20日","0.480","0.480","0.480","0.480","-0.21%"
"2022年7月19日","0.481","0.481","0.481","0.481","1.26%"
"2022年7月18日","0.475","0.475","0.475","0.475","3.26%"
"2022年7月15日","0.460","0.460","0.460","0.460","1.32%"
"2022年7月14日","0.454","0.454","0.454","0.454","-0.44%"
"2022年7月13日","0.456","0.456","0.456","0.456","0.44%"
"2022年7月12日","0.454","0.454","0.454","0.454","-5.42%"
"2022年7月11日","0.480","0.480","0.480","0.480","-0.41%"
"2022年7月8日","0.482","0.482","0.482","0.482","2.34%"
"2022年7月7日","0.471","0.471","0.471","0.471","3.06%"
"2022年7月6日","0.457","0.457","0.457","0.457","-0.87%"
"2022年7月5日","0.461","0.461","0.461","0.461","-7.24%"
"2022年7月4日","0.497","0.497","0.497","0.497","0.20%"
"2022年7月1日","0.496","0.496","0.496","0.496","1.02%"
"2022年6月30日","0.491","0.491","0.491","0.491","-2.58%"
"2022年6月29日","0.504","0.504","0.504","0.504","-1.75%"
"2022年6月28日","0.513","0.513","0.513","0.513","2.40%"
"2022年6月27日","0.501","0.501","0.501","0.501","1.62%"
"2022年6月24日","0.493","0.493","0.493","0.493","2.07%"
"2022年6月23日","0.483","0.483","0.483","0.483","-2.03%"
"2022年6月22日","0.493","0.493","0.493","0.493","-3.14%"
"2022年6月21日","0.509","0.509","0.509","0.509","0.39%"
"2022年6月20日","0.507","0.507","0.507","0.507","0.20%"
"2022年6月17日","0.506","0.506","0.506","0.506","-3.98%"
"2022年6月16日","0.527","0.527","0.527","0.527","0.00%"
"2022年6月15日","0.527","0.527","0.527","0.527","-1.31%"
"2022年6月14日","0.534","0.534","0.534","0.534","-1.11%"
"2022年6月13日","0.540","0.540","0.540","0.540","0.56%"
"2022年6月10日","0.537","0.537","0.537","0.537","-0.74%"
"2022年6月9日","0.541","0.541","0.541","0.541","-0.37%"
"2022年6月8日","0.543","0.543","0.543","0.543","1.88%"
"2022年6月7日","0.533","0.533","0.533","0.533","1.52%"
"2022年6月6日","0.525","0.525","0.525","0.525","2.94%"
"2022年6月3日","0.510","0.510","0.510","0.510","-2.11%"
"2022年6月2日","0.521","0.521","0.521","0.521","2.16%"
"2022年6月1日","0.510","0.510","0.510","0.510","0.20%"
"2022年5月31日","0.509","0.509","0.509","0.509","-0.59%"
"2022年5月30日","0.512","0.512","0.512","0.512","-0.39%"
"2022年5月27日","0.514","0.514","0.514","0.514","1.58%"
"2022年5月26日","0.506","0.506","0.506","0.506","2.02%"
"2022年5月25日","0.496","0.496","0.496","0.496","0.40%"
"2022年5月24日","0.494","0.494","0.494","0.494","0.00%"
"2022年5月23日","0.494","0.494","0.494","0.494","-0.60%"
"2022年5月20日","0.497","0.497","0.497","0.497","0.81%"
"2022年5月19日","0.493","0.493","0.493","0.493","1.23%"
"2022年5月18日","0.487","0.487","0.487","0.487","-2.21%"
"2022年5月17日","0.498","0.498","0.498","0.498","-1.97%"
"2022年5月16日","0.508","0.508","0.508","0.508","1.60%"
"2022年5月13日","0.500","0.500","0.500","0.500","2.67%"
"2022年5月12日","0.487","0.487","0.487","0.487","1.04%"
"2022年5月11日","0.482","0.482","0.482","0.482","3.66%"
"2022年5月10日","0.465","0.465","0.465","0.465","-1.90%"
"2022年5月9日","0.474","0.474","0.474","0.474","-4.44%"
"2022年5月6日","0.496","0.496","0.496","0.496","2.48%"
"2022年5月5日","0.484","0.484","0.484","0.484","2.33%"
"2022年5月4日","0.473","0.473","0.473","0.473","0.00%"
"2022年5月3日","0.473","0.473","0.473","0.473","0.00%"
"2022年5月2日","0.473","0.473","0.473","0.473","0.21%"
"2022年4月29日","0.472","0.472","0.472","0.472","-0.21%"
"2022年4月28日","0.473","0.473","0.473","0.473","1.72%"
"2022年4月27日","0.465","0.465","0.465","0.465","-0.21%"
"2022年4月26日","0.466","0.466","0.466","0.466","2.64%"
"2022年4月25日","0.454","0.454","0.454","0.454","-1.30%"
"2022年4月22日","0.460","0.460","0.460","0.460","-1.29%"
"2022年4月21日","0.466","0.466","0.466","0.466","1.08%"
"2022年4月20日","0.461","0.461","0.461","0.461","0.66%"
"2022年4月19日","0.458","0.458","0.458","0.458","-3.78%"
"2022年4月18日","0.476","0.476","0.476","0.476","0.63%"
"2022年4月15日","0.473","0.473","0.473","0.473","0.42%"
"2022年4月14日","0.471","0.471","0.471","0.471","0.86%"
"2022年4月13日","0.467","0.467","0.467","0.467","2.41%"
"2022年4月12日","0.456","0.456","0.456","0.456","3.64%"
"2022年4月11日","0.440","0.440","0.440","0.440","-1.79%"
"2022年4月8日","0.448","0.448","0.448","0.448","0.90%"
"2022年4月7日","0.444","0.444","0.444","0.444","0.00%"
"2022年4月6日","0.444","0.444","0.444","0.444","0.00%"
"2022年4月5日","0.444","0.444","0.444","0.444","0.00%"
"2022年4月4日","0.444","0.444","0.444","0.444","-0.67%"
"2022年4月1日","0.447","0.447","0.447","0.447","0.68%"
"2022年3月31日","0.444","0.444","0.444","0.444","-3.27%"
"2022年3月30日","0.459","0.459","0.459","0.459","1.55%"
"2022年3月29日","0.452","0.452","0.452","0.452","1.80%"
"2022年3月28日","0.444","0.444","0.444","0.444","-5.33%"
"2022年3月25日","0.469","0.469","0.469","0.469","1.08%"
"2022年3月24日","0.464","0.464","0.464","0.464","-2.11%"
"2022年3月23日","0.474","0.474","0.474","0.474","3.27%"
"2022年3月22日","0.459","0.459","0.459","0.459","-1.08%"
"2022年3月21日","0.464","0.464","0.464","0.464","6.42%"
"2022年3月18日","0.436","0.436","0.436","0.436","1.16%"
"2022年3月17日","0.431","0.431","0.431","0.431","5.64%"
"2022年3月16日","0.408","0.408","0.408","0.408","-0.49%"
"2022年3月15日","0.410","0.410","0.410","0.410","-3.76%"
"2022年3月14日","0.426","0.426","0.426","0.426","-2.96%"
"2022年3月11日","0.439","0.439","0.439","0.439","1.86%"
"2022年3月10日","0.431","0.431","0.431","0.431","-0.69%"
"2022年3月9日","0.434","0.434","0.434","0.434","-7.07%"
"2022年3月8日","0.467","0.467","0.467","0.467","1.52%"
"2022年3月7日","0.460","0.460","0.460","0.460","2.68%"
"2022年3月4日","0.448","0.448","0.448","0.448","5.66%"
"2022年3月3日","0.424","0.424","0.424","0.424","-1.17%"
"2022年3月2日","0.429","0.429","0.429","0.429","4.89%"
"2022年3月1日","0.409","0.409","0.409","0.409","4.60%"
"2022年2月28日","0.391","0.391","0.391","0.391","1.82%"
"2022年2月25日","0.384","0.384","0.384","0.384","-0.52%"
"2022年2月24日","0.386","0.386","0.386","0.386","0.00%"
"2022年2月23日","0.386","0.386","0.386","0.386","0.78%"
"2022年2月22日","0.383","0.383","0.383","0.383","1.06%"
"2022年2月21日","0.379","0.379","0.379","0.379","0.26%"
"2022年2月18日","0.378","0.378","0.378","0.378","0.80%"
"2022年2月17日","0.375","0.375","0.375","0.375","0.54%"
"2022年2月16日","0.373","0.373","0.373","0.373","-1.06%"
"2022年2月15日","0.377","0.377","0.377","0.377","-2.84%"
"2022年2月14日","0.388","0.388","0.388","0.388","0.78%"
"2022年2月11日","0.385","0.385","0.385","0.385","2.39%"
"2022年2月10日","0.376","0.376","0.376","0.376","-0.27%"
"2022年2月9日","0.377","0.377","0.377","0.377","1.07%"
"2022年2月8日","0.373","0.373","0.373","0.373","-1.58%"
"2022年2月7日","0.379","0.379","0.379","0.379","4.12%"
"2022年2月4日","0.364","0.364","0.364","0.364","0.00%"
"2022年2月3日","0.364","0.364","0.364","0.364","0.00%"
"2022年2月2日","0.364","0.364","0.364","0.364","0.00%"
"2022年2月1日","0.364","0.364","0.364","0.364","0.00%"
"2022年1月31日","0.364","0.364","0.364","0.364","-0.55%"
"2022年1月28日","0.366","0.366","0.366","0.366","0.55%"
"2022年1月27日","0.364","0.364","0.364","0.364","0.55%"
"2022年1月26日","0.362","0.362","0.362","0.362","0.84%"
"2022年1月25日","0.359","0.359","0.359","0.359","1.13%"
"2022年1月24日","0.355","0.355","0.355","0.355","-1.11%"
"2022年1月21日","0.359","0.359","0.359","0.359","0.28%"
"2022年1月20日","0.358","0.358","0.358","0.358","-0.56%"
"2022年1月19日","0.360","0.360","0.360","0.360","0.28%"
"2022年1月18日","0.359","0.359","0.359","0.359","1.41%"
"2022年1月17日","0.354","0.354","0.354","0.354","-0.28%"
"2022年1月14日","0.355","0.355","0.355","0.355","2.90%"
"2022年1月13日","0.345","0.345","0.345","0.345","-1.15%"
"2022年1月12日","0.349","0.349","0.349","0.349","1.16%"
"2022年1月11日","0.345","0.345","0.345","0.345","2.99%"
"2022年1月10日","0.335","0.335","0.335","0.335","-0.89%"
"2022年1月7日","0.338","0.338","0.338","0.338","-0.29%"
"2022年1月6日","0.339","0.339","0.339","0.339","2.11%"
"2022年1月5日","0.332","0.332","0.332","0.332","-0.30%"
"2022年1月4日","0.333","0.333","0.333","0.333","0.91%"
"2022年1月3日","0.330","0.330","0.330","0.330","1.23%"
"2021年12月31日","0.326","0.326","0.326","0.326","-1.21%"
"2021年12月30日","0.330","0.330","0.330","0.330","0.00%"
"2021年12月29日","0.330","0.330","0.330","0.330","0.61%"
"2021年12月28日","0.328","0.328","0.328","0.328","0.61%"
"2021年12月27日","0.326","0.326","0.326","0.326","2.19%"
"2021年12月24日","0.319","0.319","0.319","0.319","0.00%"
"2021年12月23日","0.319","0.319","0.319","0.319","0.95%"
"2021年12月22日","0.316","0.316","0.316","0.316","1.28%"
"2021年12月21日","0.312","0.312","0.312","0.312","2.30%"
"2021年12月20日","0.305","0.305","0.305","0.305","-0.97%"
"2021年12月17日","0.308","0.308","0.308","0.308","-1.91%"
"2021年12月16日","0.314","0.314","0.314","0.314","0.32%"
"2021年12月15日","0.313","0.313","0.313","0.313","0.97%"
"2021年12月14日","0.310","0.310","0.310","0.310","-0.96%"
"2021年12月13日","0.313","0.313","0.313","0.313","-0.95%"
"2021年12月10日","0.316","0.316","0.316","0.316","1.94%"
"2021年12月9日","0.310","0.310","0.310","0.310","-2.52%"
"2021年12月8日","0.318","0.318","0.318","0.318","1.27%"
"2021年12月7日","0.314","0.314","0.314","0.314","1.95%"
"2021年12月6日","0.308","0.308","0.308","0.308","4.05%"
"2021年12月3日","0.296","0.296","0.296","0.296","-0.34%"
"2021年12月2日","0.297","0.297","0.297","0.297","2.06%"
"2021年12月1日","0.291","0.291","0.291","0.291","-1.69%"
"2021年11月30日","0.296","0.296","0.296","0.296","-4.21%"
"2021年11月29日","0.309","0.309","0.309","0.309","0.98%"
"2021年11月26日","0.306","0.306","0.306","0.306","-10.79%"
"2021年11月25日","0.343","0.343","0.343","0.343","0.00%"
"2021年11月24日","0.343","0.343","0.343","0.343","-0.58%"
"2021年11月23日","0.345","0.345","0.345","0.345","2.99%"
"2021年11月22日","0.335","0.335","0.335","0.335","1.52%"
"2021年11月19日","0.330","0.330","0.330","0.330","-2.94%"
"2021年11月18日","0.340","0.340","0.340","0.340","0.59%"
"2021年11月17日","0.338","0.338","0.338","0.338","-2.03%"
"2021年11月16日","0.345","0.345","0.345","0.345","0.29%"
"2021年11月15日","0.344","0.344","0.344","0.344","0.00%"
"2021年11月12日","0.344","0.344","0.344","0.344","-0.58%"
"2021年11月11日","0.346","0.346","0.346","0.346","0.00%"
"2021年11月10日","0.346","0.346","0.346","0.346","-2.54%"
"2021年11月9日","0.355","0.355","0.355","0.355","1.43%"
"2021年11月8日","0.350","0.350","0.350","0.350","0.86%"
"2021年11月5日","0.347","0.347","0.347","0.347","2.66%"
"2021年11月4日","0.338","0.338","0.338","0.338","-0.88%"
"2021年11月3日","0.341","0.341","0.341","0.341","-3.40%"
"2021年11月2日","0.353","0.353","0.353","0.353","-0.28%"
"2021年11月1日","0.354","0.354","0.354","0.354","1.14%"
"2021年10月29日","0.350","0.350","0.350","0.350","-0.57%"
"2021年10月28日","0.352","0.352","0.352","0.352","0.86%"
"2021年10月27日","0.349","0.349","0.349","0.349","-2.24%"
"2021年10月26日","0.357","0.357","0.357","0.357","0.85%"
"2021年10月25日","0.354","0.354","0.354","0.354","-0.56%"
"2021年10月22日","0.356","0.356","0.356","0.356","1.14%"
"2021年10月21日","0.352","0.352","0.352","0.352","-1.40%"
"2021年10月20日","0.357","0.357","0.357","0.357","0.85%"
"2021年10月19日","0.354","0.354","0.354","0.354","0.57%"
"2021年10月18日","0.352","0.352","0.352","0.352","-0.28%"
"2021年10月15日","0.353","0.353","0.353","0.353","0.28%"
"2021年10月14日","0.352","0.352","0.352","0.352","0.86%"
"2021年10月13日","0.349","0.349","0.349","0.349","0.29%"
"2021年10月12日","0.348","0.348","0.348","0.348","-0.29%"
"2021年10月11日","0.349","0.349","0.349","0.349","1.16%"
"2021年10月8日","0.345","0.345","0.345","0.345","5.50%"
"2021年10月7日","0.327","0.327","0.327","0.327","0.00%"
"2021年10月6日","0.327","0.327","0.327","0.327","0.00%"
"2021年10月5日","0.327","0.327","0.327","0.327","0.00%"
"2021年10月4日","0.327","0.327","0.327","0.327","0.00%"
"2021年10月1日","0.327","0.327","0.327","0.327","-0.61%"
"2021年9月30日","0.329","0.329","0.329","0.329","0.61%"
"2021年9月29日","0.327","0.327","0.327","0.327","0.00%"
"2021年9月28日","0.327","0.327","0.327","0.327","-0.91%"
"2021年9月27日","0.330","0.330","0.330","0.330","2.17%"
"2021年9月24日","0.323","0.323","0.323","0.323","0.62%"
"2021年9月23日","0.321","0.321","0.321","0.321","1.58%"
"2021年9月22日","0.316","0.316","0.316","0.316","0.32%"
"2021年9月21日","0.315","0.315","0.315","0.315","0.00%"
"2021年9月20日","0.315","0.315","0.315","0.315","0.32%"
"2021年9月17日","0.314","0.314","0.314","0.314","-0.32%"
"2021年9月16日","0.315","0.315","0.315","0.315","-0.32%"
"2021年9月15日","0.316","0.316","0.316","0.316","2.27%"
"2021年9月14日","0.309","0.309","0.309","0.309","0.00%"
"2021年9月13日","0.309","0.309","0.309","0.309","0.98%"
"2021年9月10日","0.306","0.306","0.306","0.306","2.00%"
"2021年9月9日","0.300","0.300","0.300","0.300","-1.64%"
"2021年9月8日","0.305","0.305","0.305","0.305","0.99%"
"2021年9月7日","0.302","0.302","0.302","0.302","-0.98%"
"2021年9月6日","0.305","0.305","0.305","0.305","-0.33%"
"2021年9月3日","0.306","0.306","0.306","0.306","-0.33%"
"2021年9月2日","0.307","0.307","0.307","0.307","1.99%"
"2021年9月1日","0.301","0.301","0.301","0.301","-0.33%"
"2021年8月31日","0.302","0.302","0.302","0.302","-0.66%"
"2021年8月30日","0.304","0.304","0.304","0.304","0.00%"
"2021年8月27日","0.304","0.304","0.304","0.304","1.67%"
"2021年8月26日","0.299","0.299","0.299","0.299","-0.66%"
"2021年8月25日","0.301","0.301","0.301","0.301","0.67%"
"2021年8月24日","0.299","0.299","0.299","0.299","2.75%"
"2021年8月23日","0.291","0.291","0.291","0.291","5.05%"
"2021年8月20日","0.277","0.277","0.277","0.277","-2.46%"
"2021年8月19日","0.284","0.284","0.284","0.284","-1.39%"
"2021年8月18日","0.288","0.288","0.288","0.288","-2.04%"
"2021年8月17日","0.294","0.294","0.294","0.294","-0.68%"
"2021年8月16日","0.296","0.296","0.296","0.296","-1.00%"
"2021年8月13日","0.299","0.299","0.299","0.299","-1.32%"
"2021年8月12日","0.303","0.303","0.303","0.303","-0.33%"
"2021年8月11日","0.304","0.304","0.304","0.304","1.00%"
"2021年8月10日","0.301","0.301","0.301","0.301","2.03%"
"2021年8月9日","0.295","0.295","0.295","0.295","-1.34%"
"2021年8月6日","0.299","0.299","0.299","0.299","-0.99%"
"2021年8月5日","0.302","0.302","0.302","0.302","1.68%"
"2021年8月4日","0.297","0.297","0.297","0.297","-2.94%"
"2021年8月3日","0.306","0.306","0.306","0.306","-0.65%"
"2021年8月2日","0.308","0.308","0.308","0.308","-2.53%"
"2021年7月30日","0.316","0.316","0.316","0.316","-0.63%"
"2021年7月29日","0.318","0.318","0.318","0.318","1.92%"
"2021年7月28日","0.312","0.312","0.312","0.312","0.65%"
"2021年7月27日","0.310","0.310","0.310","0.310","-0.32%"
"2021年7月26日","0.311","0.311","0.311","0.311","0.32%"
"2021年7月23日","0.310","0.310","0.310","0.310","0.65%"
"2021年7月22日","0.308","0.308","0.308","0.308","1.32%"
"2021年7月21日","0.304","0.304","0.304","0.304","3.40%"
"2021年7月20日","0.294","0.294","0.294","0.294","1.38%"
"2021年7月19日","0.290","0.290","0.290","0.290","-5.84%"
"2021年7月16日","0.308","0.308","0.308","0.308","0.00%"
"2021年7月15日","0.308","0.308","0.308","0.308","-1.28%"
"2021年7月14日","0.312","0.312","0.312","0.312","-2.50%"
"2021年7月13日","0.320","0.320","0.320","0.320","1.59%"
"2021年7月12日","0.315","0.315","0.315","0.315","0.00%"
"2021年7月9日","0.315","0.315","0.315","0.315","1.61%"
"2021年7月8日","0.310","0.310","0.310","0.310","1.31%"
"2021年7月7日","0.306","0.306","0.306","0.306","-1.92%"
"2021年7月6日","0.312","0.312","0.312","0.312","-2.19%"
"2021年7月5日","0.319","0.319","0.319","0.319","0.00%"
"2021年7月2日","0.319","0.319","0.319","0.319","0.63%"
"2021年7月1日","0.317","0.317","0.317","0.317","1.60%"
"2021年6月30日","0.312","0.312","0.312","0.312","0.00%"
"2021年6月29日","0.312","0.312","0.312","0.312","0.65%"
"2021年6月28日","0.310","0.310","0.310","0.310","-1.59%"
"2021年6月25日","0.315","0.315","0.315","0.315","0.32%"
"2021年6月24日","0.314","0.314","0.314","0.314","0.64%"
"2021年6月23日","0.312","0.312","0.312","0.312","0.65%"
"2021年6月22日","0.310","0.310","0.310","0.310","0.32%"
"2021年6月21日","0.309","0.309","0.309","0.309","1.98%"
"2021年6月18日","0.303","0.303","0.303","0.303","0.66%"
"2021年6月17日","0.301","0.301","0.301","0.301","-0.99%"
"2021年6月16日","0.304","0.304","0.304","0.304","-0.33%"
"2021年6月15日","0.305","0.305","0.305","0.305","2.35%"
"2021年6月14日","0.298","0.298","0.298","0.298","-0.33%"
"2021年6月11日","0.299","0.299","0.299","0.299","0.34%"
"2021年6月10日","0.298","0.298","0.298","0.298","0.34%"
"2021年6月9日","0.297","0.297","0.297","0.297","-0.34%"
"2021年6月8日","0.298","0.298","0.298","0.298","1.02%"
"2021年6月7日","0.295","0.295","0.295","0.295","0.00%"
"2021年6月4日","0.295","0.295","0.295","0.295","0.68%"
"2021年6月3日","0.293","0.293","0.293","0.293","0.34%"
"2021年6月2日","0.292","0.292","0.292","0.292","1.39%"
"2021年6月1日","0.288","0.288","0.288","0.288","1.77%"
"2021年5月31日","0.283","0.283","0.283","0.283","-0.35%"
"2021年5月28日","0.284","0.284","0.284","0.284","-0.35%"
"2021年5月27日","0.285","0.285","0.285","0.285","0.35%"
"2021年5月26日","0.284","0.284","0.284","0.284","0.35%"
"2021年5月25日","0.283","0.283","0.283","0.283","-0.35%"
"2021年5月24日","0.284","0.284","0.284","0.284","2.90%"
"2021年5月21日","0.276","0.276","0.276","0.276","2.60%"
"2021年5月20日","0.269","0.269","0.269","0.269","-1.82%"
"2021年5月19日","0.274","0.274","0.274","0.274","-3.18%"
"2021年5月18日","0.283","0.283","0.283","0.283","-1.05%"
"2021年5月17日","0.286","0.286","0.286","0.286","1.06%"
"2021年5月14日","0.283","0.283","0.283","0.283","1.43%"
"2021年5月13日","0.279","0.279","0.279","0.279","-2.45%"
"2021年5月12日","0.286","0.286","0.286","0.286","0.70%"
"2021年5月11日","0.284","0.284","0.284","0.284","0.71%"
"2021年5月10日","0.282","0.282","0.282","0.282","-0.35%"
"2021年5月7日","0.283","0.283","0.283","0.283","0.00%"
"2021年5月6日","0.283","0.283","0.283","0.283","0.71%"
"2021年5月5日","0.281","0.281","0.281","0.281","0.00%"
"2021年5月4日","0.281","0.281","0.281","0.281","0.00%"
"2021年5月3日","0.281","0.281","0.281","0.281","2.18%"
"2021年4月30日","0.275","0.275","0.275","0.275","-2.14%"
"2021年4月29日","0.281","0.281","0.281","0.281","1.44%"
"2021年4月28日","0.277","0.277","0.277","0.277","0.73%"
"2021年4月27日","0.275","0.275","0.275","0.275","1.48%"
"2021年4月26日","0.271","0.271","0.271","0.271","-0.37%"
"2021年4月23日","0.272","0.272","0.272","0.272","1.12%"
"2021年4月22日","0.269","0.269","0.269","0.269","0.37%"
"2021年4月21日","0.268","0.268","0.268","0.268","-1.83%"
"2021年4月20日","0.273","0.273","0.273","0.273","-1.44%"
"2021年4月19日","0.277","0.277","0.277","0.277","0.00%"
"2021年4月16日","0.277","0.277","0.277","0.277","-0.36%"
"2021年4月15日","0.278","0.278","0.278","0.278","0.36%"
"2021年4月14日","0.277","0.277","0.277","0.277","3.36%"
"2021年4月13日","0.268","0.268","0.268","0.268","1.13%"
"2021年4月12日","0.265","0.265","0.265","0.265","0.76%"
"2021年4月9日","0.263","0.263","0.263","0.263","-0.38%"
"2021年4月8日","0.264","0.264","0.264","0.264","0.00%"
"2021年4月7日","0.264","0.264","0.264","0.264","0.00%"
"2021年4月6日","0.264","0.264","0.264","0.264","-2.58%"
"2021年4月5日","0.271","0.271","0.271","0.271","0.00%"
"2021年4月2日","0.271","0.271","0.271","0.271","0.00%"
"2021年4月1日","0.271","0.271","0.271","0.271","3.04%"
"2021年3月31日","0.263","0.263","0.263","0.263","-1.13%"
"2021年3月30日","0.266","0.266","0.266","0.266","-1.12%"
"2021年3月29日","0.269","0.269","0.269","0.269","0.37%"
"2021年3月26日","0.268","0.268","0.268","0.268","4.28%"
"2021年3月25日","0.257","0.257","0.257","0.257","-3.38%"
"2021年3月24日","0.266","0.266","0.266","0.266","4.72%"
"2021年3月23日","0.254","0.254","0.254","0.254","-5.22%"
"2021年3月22日","0.268","0.268","0.268","0.268","0.00%"
"2021年3月19日","0.268","0.268","0.268","0.268","3.47%"
"2021年3月18日","0.259","0.259","0.259","0.259","-7.50%"
"2021年3月17日","0.280","0.280","0.280","0.280","0.00%"
"2021年3月16日","0.280","0.280","0.280","0.280","-0.71%"
"2021年3月15日","0.282","0.282","0.282","0.282","0.00%"
"2021年3月12日","0.282","0.282","0.282","0.282","-0.70%"
"2021年3月11日","0.284","0.284","0.284","0.284","1.79%"
"2021年3月10日","0.279","0.279","0.279","0.279","0.72%"
"2021年3月9日","0.277","0.277","0.277","0.277","0.00%"
"2021年3月8日","0.277","0.277","0.277","0.277","-2.12%"
"2021年3月5日","0.283","0.283","0.283","0.283","3.28%"
"2021年3月4日","0.274","0.274","0.274","0.274","4.58%"
"2021年3月3日","0.262","0.262","0.262","0.262","2.75%"
"2021年3月2日","0.255","0.255","0.255","0.255","-1.54%"
"2021年3月1日","0.259","0.259","0.259","0.259","-1.52%"
"2021年2月26日","0.263","0.263","0.263","0.263","-2.59%"
"2021年2月25日","0.270","0.270","0.270","0.270","-0.37%"
"2021年2月24日","0.271","0.271","0.271","0.271","2.26%"
"2021年2月23日","0.265","0.265","0.265","0.265","1.15%"
"2021年2月22日","0.262","0.262","0.262","0.262","3.56%"
"2021年2月19日","0.253","0.253","0.253","0.253","-1.17%"
"2021年2月18日","0.256","0.256","0.256","0.256","3.23%"
"2021年2月17日","0.248","0.248","0.248","0.248","0.00%"
"2021年2月16日","0.248","0.248","0.248","0.248","0.00%"
"2021年2月15日","0.248","0.248","0.248","0.248","0.00%"
"2021年2月12日","0.248","0.248","0.248","0.248","0.00%"
"2021年2月11日","0.248","0.248","0.248","0.248","0.00%"
"2021年2月10日","0.248","0.248","0.248","0.248","0.00%"
"2021年2月9日","0.248","0.248","0.248","0.248","0.40%"
"2021年2月8日","0.247","0.247","0.247","0.247","1.65%"
"2021年2月5日","0.243","0.243","0.243","0.243","1.25%"
"2021年2月4日","0.240","0.240","0.240","0.240","0.84%"
"2021年2月3日","0.238","0.238","0.238","0.238","1.71%"
"2021年2月2日","0.234","0.234","0.234","0.234","1.74%"
"2021年2月1日","0.230","0.230","0.230","0.230","2.68%"
"2021年1月29日","0.224","0.224","0.224","0.224","-0.44%"
"2021年1月28日","0.225","0.225","0.225","0.225","-0.44%"
"2021年1月27日","0.226","0.226","0.226","0.226","0.00%"
"2021年1月26日","0.226","0.226","0.226","0.226","-0.44%"
"2021年1月25日","0.227","0.227","0.227","0.227","1.34%"
"2021年1月22日","0.224","0.224","0.224","0.224","-1.75%"
"2021年1月21日","0.228","0.228","0.228","0.228","0.00%"
"2021年1月20日","0.228","0.228","0.228","0.228","0.00%"
"2021年1月19日","0.228","0.228","0.228","0.228","1.33%"
"2021年1月18日","0.225","0.225","0.225","0.225","0.00%"
"2021年1月15日","0.225","0.225","0.225","0.225","-2.60%"
"2021年1月14日","0.231","0.231","0.231","0.231","1.32%"
"2021年1月13日","0.228","0.228","0.228","0.228","-0.44%"
"2021年1月12日","0.229","0.229","0.229","0.229","1.78%"
"2021年1月11日","0.225","0.225","0.225","0.225","-0.44%"
"2021年1月8日","0.226","0.226","0.226","0.226","2.73%"
"2021年1月7日","0.220","0.220","0.220","0.220","0.92%"
"2021年1月6日","0.218","0.218","0.218","0.218","0.46%"
"2021年1月5日","0.217","0.217","0.217","0.217","3.33%"
"2021年1月4日","0.210","0.210","0.210","0.210","-1.41%"
"2021年1月1日","0.213","0.213","0.213","0.213","0.00%"
"2020年12月31日","0.213","0.213","0.213","0.213","0.00%"
"2020年12月30日","0.213","0.213","0.213","0.213","0.47%"
"2020年12月29日","0.212","0.212","0.212","0.212","0.95%"
"2020年12月28日","0.210","0.210","0.210","0.210","-1.41%"
"2020年12月25日","0.213","0.213","0.213","0.213","0.00%"
"2020年12月24日","0.213","0.213","0.213","0.213","0.47%"
"2020年12月23日","0.212","0.212","0.212","0.212","1.92%"
"2020年12月22日","0.208","0.208","0.208","0.208","-1.42%"
"2020年12月21日","0.211","0.211","0.211","0.211","-2.31%"
"2020年12月18日","0.216","0.216","0.216","0.216","0.93%"
"2020年12月17日","0.214","0.214","0.214","0.214","0.94%"
"2020年12月16日","0.212","0.212","0.212","0.212","0.47%"
"2020年12月15日","0.211","0.211","0.211","0.211","0.96%"
"2020年12月14日","0.209","0.209","0.209","0.209","0.97%"
"2020年12月11日","0.207","0.207","0.207","0.207","-0.96%"
"2020年12月10日","0.209","0.209","0.209","0.209","2.45%"
"2020年12月9日","0.204","0.204","0.204","0.204","0.00%"
